date,time_months,prescriptions_gabapentin,prescriptions_pregabalin,prescriptions_total
2015-05-01,1,450908,375350,826258
2015-06-01,2,479752,399022,878774
2015-07-01,3,502738,419985,922723
2015-08-01,4,460096,385838,845934
2015-09-01,5,497057,414772,911829
2015-10-01,6,505418,423735,929153
2015-11-01,7,488061,410291,898352
2015-12-01,8,543067,457160,1000227
2016-01-01,9,489551,414782,904333
2016-02-01,10,490390,416315,906705
2016-03-01,11,522228,443394,965622
2016-04-01,12,535386,455376,990762
2016-05-01,13,519934,442083,962017
2016-06-01,14,546254,465104,1011358
2016-07-01,15,537431,459382,996813
2016-08-01,16,550866,473151,1024017
2016-09-01,17,561887,478873,1040760
2016-10-01,18,547016,469223,1016239
2016-11-01,19,568638,488804,1057442
2016-12-01,20,584590,503734,1088324
2017-01-01,21,556720,481141,1037861
2017-02-01,22,524743,454564,979307
2017-03-01,23,609265,526520,1135785
2017-04-01,24,547402,475137,1022539
2017-05-01,25,598814,520223,1119037
2017-06-01,26,608655,528002,1136657
2017-07-01,27,592403,520949,1113352
2017-08-01,28,610357,535077,1145434
2017-09-01,29,596956,526993,1123949
2017-10-01,30,609595,546478,1156073
2017-11-01,31,611391,550342,1161733
2017-12-01,32,608784,551327,1160111
2018-01-01,33,616608,564225,1180833
2018-02-01,34,557136,511779,1068915
2018-03-01,35,614257,569114,1183371
2018-04-01,36,596773,553533,1150306
2018-05-01,37,622433,583317,1205750
2018-06-01,38,609065,572899,1181964
2018-07-01,39,615842,586283,1202125
2018-08-01,40,632538,605662,1238200
2018-09-01,41,591539,566961,1158500
2018-10-01,42,644035,626064,1270099
2018-11-01,43,628014,611300,1239314
2018-12-01,44,622430,610284,1232714
2019-01-01,45,640343,631140,1271483
2019-02-01,46,552719,549879,1102598
2019-03-01,47,596830,596866,1193696
2019-04-01,48,595457,596331,1191788
2019-05-01,49,630209,633224,1263433
2019-06-01,50,581776,585202,1166978
2019-07-01,51,602919,612331,1215250
2019-08-01,52,635406,645364,1280770
2019-09-01,53,594669,605210,1199879
2019-10-01,54,634275,649263,1283538
2019-11-01,55,602927,620843,1223770
2019-12-01,56,618615,641434,1260049
2020-01-01,57,629109,655233,1284342
2020-02-01,58,570291,597411,1167702
2020-03-01,59,642909,665016,1307925
2020-04-01,60,616384,646783,1263167
